0,0
1,300001
2,300002
3,300003
4,300004
5,300005
6,300006
7,300007
8,300008
9,300009
10,300010
11,300011
12,300012
13,300013
14,300014
15,300015
16,300016
17,300017
18,300018
19,300019
20,300020
21,300021
22,300022
23,300023
24,300024
25,300025
26,300026
27,300027
28,300028
29,300029
30,300030
31,300031
32,300032
33,300033
34,300034
35,300035
36,300036
37,300037
38,300038
39,300039
40,300040
41,300041
42,300042
43,300043
44,300044
45,300045
46,300046
47,300047
48,300048
49,300049
50,300050
51,300051
52,300052
53,300053
54,300054
55,300055
56,300056
57,300057
58,300058
59,300059
60,300060
61,300061
62,300062
63,300063
64,300064
65,300065
66,300066
67,300067
68,300068
69,300069
70,300070
71,300071
72,300072
73,300073
74,300074
75,300075
76,300076
77,300077
78,300078
79,300079
80,300080
81,300081
82,300082
83,300083
84,300084
85,300085
86,300086
87,300087
88,300088
89,300089
90,300090
91,300091
92,300092
93,300093
94,300094
95,300095
96,300096
97,300097
98,300098
99,300099
100,300100
101,300150
102,300151
103,300152
104,300153
105,300154
106,300155
107,300156
108,300157
109,300158
110,300159
111,400001
112,400003
113,400004
114,400005
115,400006
116,400007
117,400008
118,400009
119,400010
120,400011
121,400012
122,400013
123,400014
124,400015
125,400016
126,400017
127,400018
128,400019
129,400020
130,400021
131,400022
132,400023
133,400024
134,400025
135,400026
136,400027
137,400028
138,400029
139,400030
140,400031
141,400032
142,400033
143,400034
144,400035
145,400036
146,400037
147,400038
148,400039
149,400040
150,400041
151,400042
152,400043
153,400044
154,400045
155,400046
156,400047
157,400048
158,400049
159,400050
160,400051
161,400052
162,400053
163,400054
164,400055
165,400056
166,400057
167,400058
168,400059
169,400060
170,400061
171,400062
172,400063
173,400064
174,400065
175,400066
176,400067
177,400068
178,400069
179,400070
180,400071
181,400072
182,400073
183,400074
184,400075
185,400076
186,400077
187,400078
188,400079
189,400080
190,400081
191,400082
192,400083
193,400084
194,400085
195,400086
196,400087
197,400088
198,400089
199,400090
200,400091
201,400092
202,400093
203,400094
204,400095
205,400096
206,400097
207,400098
208,400099
209,400100
210,400101
211,400102
212,400103
213,400104
214,400105
215,400106
216,400107
217,400108
218,400109
219,400110
220,400111
221,400112
222,400113
223,400114
224,400115
225,400116
226,400117
227,400118
228,400119
229,400120
230,400121
231,400122
232,400123
233,400124
234,400125
235,400126
236,400127
237,400128
238,400129
239,400130
240,400131
241,400132
242,400133
243,400134
244,400135
245,400136
246,400137
247,400138
248,400139
249,400140
250,400141
251,400142
252,400143
253,400144
254,400145
255,400146
256,400147
257,400148
258,400149
259,400150
260,400151
261,400152
262,400153
263,400154
264,400155
265,400156
266,400157
267,400158
268,400159
269,400160
270,400161
271,400162
272,400163
273,400164
274,400165
275,400166
276,400167
277,400168
278,400169
279,400170
280,400171
281,400172
282,400173
283,400174
284,400175
285,400176
286,400177
287,400178
288,400179
289,400180
290,400181
291,400182
292,400183
293,400184
294,400185
295,400186
296,400187
297,400188
298,400189
299,400190
300,400191
301,400192
302,400193
303,400194
304,400195
305,400196
306,400197
307,400198
308,400199
309,400200
310,400201
311,400202
312,400203
313,400204
314,400205
315,400206
316,400207
317,400208
318,400209
319,400210
320,400211
321,400212
322,400213
323,400214
324,400215
325,400216
326,400217
327,400218
328,400219
329,400220
330,400221
331,400222
332,400223
333,400224
334,400225
335,400226
336,400227
337,400228
338,400229
339,400230
340,400231
341,400232
342,400233
343,400234
344,400235
345,400236
346,400237
347,400238
348,400239
349,400240
350,400241
351,400242
352,400243
353,400244
354,400245
355,400246
356,400247
357,400248
358,400249
359,400250
360,400251
361,400252
362,400253
363,400254
364,400255
365,400256
366,400257
367,400258
368,400259
369,400260
370,400261
371,400262
372,400263
373,400264
374,400265
