Renee	Ellmers	NC	Republican	rep	412457
Eliot	Engel	NY	Democrat	rep	400122
Anna	Eshoo	CA	Democrat	rep	400124
Blake	Farenthold	TX	Republican	rep	412482
Sam	Farr	CA	Democrat	rep	400129
Chaka	Fattah	PA	Democrat	rep	400130
Stephen	Fincher	TN	Republican	rep	412479
Michael	Fitzpatrick	PA	Republican	rep	400646
Jeff	Flake	AZ	Republican	sen	400134
Charles	Fleischmann	TN	Republican	rep	412476
John	Fleming	LA	Republican	rep	412275
Bill	Flores	TX	Republican	rep	412480
J.	Forbes	VA	Republican	rep	400137
Jeff	Fortenberry	NE	Republican	rep	400640
Virginia	Foxx	NC	Republican	rep	400643
Trent	Franks	AZ	Republican	rep	400141
Rodney	Frelinghuysen	NJ	Republican	rep	400142
Marcia	Fudge	OH	Democrat	rep	412327
John	Garamendi	CA	Democrat	rep	412382
Cory	Gardner	CO	Republican	sen	412406
Scott	Garrett	NJ	Republican	rep	400145
Bob	Gibbs	OH	Republican	rep	412463
Christopher	Gibson	NY	Republican	rep	412453
Louie	Gohmert	TX	Republican	rep	400651
Bob	Goodlatte	VA	Republican	rep	400154
Paul	Gosar	AZ	Republican	rep	412397
Trey	Gowdy	SC	Republican	rep	412473
Kay	Granger	TX	Republican	rep	400157
Charles	Grassley	IA	Republican	sen	300048
Sam	Graves	MO	Republican	rep	400158
Tom	Graves	GA	Republican	rep	412388
Al	Green	TX	Democrat	rep	400653
Gene	Green	TX	Democrat	rep	400160
H.	Griffith	VA	Republican	rep	412485
Raúl	Grijalva	AZ	Democrat	rep	400162
Brett	Guthrie	KY	Republican	rep	412278
Luis	Gutiérrez	IL	Democrat	rep	400163
Richard	Hanna	NY	Republican	rep	412454
Gregg	Harper	MS	Republican	rep	412280
Andy	Harris	MD	Republican	rep	412434
Vicky	Hartzler	MO	Republican	rep	412444
Alcee	Hastings	FL	Democrat	rep	400170
Joseph	Heck	NV	Republican	rep	412446
Martin	Heinrich	NM	Democrat	sen	412281
Jeb	Hensarling	TX	Republican	rep	400175
Jaime	Herrera Beutler	WA	Republican	rep	412486
Brian	Higgins	NY	Democrat	rep	400641
James	Himes	CT	Democrat	rep	412282
Rubén	Hinojosa	TX	Democrat	rep	400179
Mazie	Hirono	HI	Democrat	sen	412200
John	Hoeven	ND	Republican	sen	412494
Michael	Honda	CA	Democrat	rep	400185
Steny	Hoyer	MD	Democrat	rep	400189
Tim	Huelskamp	KS	Republican	rep	412429
Bill	Huizenga	MI	Republican	rep	412437
Randy	Hultgren	IL	Republican	rep	412422
Duncan	Hunter	CA	Republican	rep	412283
Robert	Hurt	VA	Republican	rep	412484
John	Isakson	GA	Republican	sen	400194
Steve	Israel	NY	Democrat	rep	400195
Darrell	Issa	CA	Republican	rep	400196
Sheila	Jackson Lee	TX	Democrat	rep	400199
Lynn	Jenkins	KS	Republican	rep	412284
Bill	Johnson	OH	Republican	rep	412460
Eddie	Johnson	TX	Democrat	rep	400204
Henry	Johnson	GA	Democrat	rep	412199
Ron	Johnson	WI	Republican	sen	412496
Sam	Johnson	TX	Republican	rep	400206
Walter	Jones	NC	Republican	rep	400209
Jim	Jordan	OH	Republican	rep	412226
Marcy	Kaptur	OH	Democrat	rep	400211
William	Keating	MA	Democrat	rep	412435
Mike	Kelly	PA	Republican	rep	412465
Ron	Kind	WI	Democrat	rep	400218
Peter	King	NY	Republican	rep	400219
Steve	King	IA	Republican	rep	400220
Adam	Kinzinger	IL	Republican	rep	412421
Mark	Kirk	IL	Republican	sen	400222
John	Kline	MN	Republican	rep	400224
Raúl	Labrador	ID	Republican	rep	412419
Doug	Lamborn	CO	Republican	rep	412191
Leonard	Lance	NJ	Republican	rep	412290
